,Unnamed: 0,location,average_consensus_score,average_pk_bp_consensus_score
535,535,29600,0.2282605466428995,0.2945836144849302
257,257,12280,0.2005125533775788,0.2669957983193277
161,161,15000,0.2148809523809523,0.2298477564102564
7,7,15040,0.219879426129426,0.2235060690943043
345,345,22120,0.208795868023435,0.2002361673414304
54,54,6560,0.2181324587574587,0.1960276029748283
400,400,440,0.214013234572445,0.1924885531135531
181,181,23920,0.2136980562834452,0.1862912087912087
244,244,4320,0.2258013312852022,0.1782342657342657
382,382,26560,0.2128104380498533,0.1664855072463767
513,513,29000,0.221009110714993,0.1589285714285714
331,331,29560,0.272369489063568,0.1563616071428571
